brand_id,size_id,price,bar_id,published
53,15,3.2,,true
11,3,1,,true
11,7,1.5,,true
11,4,1.5,,true
12,4,2.5,,true
34,4,1.5,,true
25,4,2,,true
16,4,2.5,,true
6,4,1.5,,true
11,7,1.5,,true
61,4,2,,true
11,4,1.5,,true
12,4,2.5,,true
34,4,1.5,,true
25,4,2,,true
16,4,2.5,,true
6,4,1.5,,true
11,7,1.5,,true
61,4,2,,true
11,4,1.5,,true
12,4,2.5,,true
34,4,1.5,,true
25,4,2,,true
16,4,2.5,,true
6,4,1.5,,true
11,7,1.5,,true
61,4,2,,true
25,15,2,,true
25,4,3,,true
12,4,3,,true
12,16,5.95,,true
16,4,3.5,,true
6,4,2.5,,true
33,5,4.5,,true
55,4,3.5,,true
61,4,3.5,,true
53,4,3.5,,true
64,6,3.5,,true
62,4,2.5,,true
63,11,3.5,,true
25,15,2,96,true
25,4,3,96,true
12,4,3,96,true
12,16,5.95,96,true
16,4,3.5,96,true
6,4,2.5,96,true
33,5,4.5,96,true
55,4,3.5,96,true
61,4,3.5,96,true
53,4,3.5,96,true
64,6,3.5,96,true
62,4,2.5,96,true
63,11,3.5,96,true
11,3,1,,true
11,7,1.5,,true
61,4,2.1,,true
29,1,1.4,,true
29,2,2.4,,true
29,6,3.5,,true
29,1,1.4,,true
29,2,2.4,,true
29,6,3.5,,true
29,1,1.4,99,true
29,2,2.4,99,true
29,6,3.5,99,true
18,1,1.5,,true
18,2,2.75,,true
18,6,3.75,,true
33,5,5,,true
16,4,3.5,,true
25,4,2.75,,true
38,4,3,,true
7,4,3.3,,true
18,1,1.5,,true
18,2,2.75,,true
18,6,3.75,,true
33,5,5,,true
16,4,3.5,,true
25,4,2.75,,true
38,4,3,,true
7,4,3.3,,true
29,1,1.3,,true
29,2,2.3,,true
29,6,3.5,,true
29,1,1.3,102,true
29,2,2.3,102,true
29,6,3.5,102,true
11,1,1.3,,true
11,1,1,,true
13,1,1.1,,true
34,4,1.2,,true
11,1,1.2,,true
13,1,1.3,,true
12,4,1.8,,true
34,4,1.5,,true
11,13,1.5,,true
11,6,2.5,,true
11,1,1.2,,true
13,1,1.2,,true
34,4,1.5,,true
12,4,2,,true
11,1,1.2,,true
13,1,1.2,,true
34,4,1.5,,true
11,1,1.3,,true
11,1,1,104,true
13,1,1.1,104,true
34,4,1.2,104,true
11,1,1.2,,true
13,1,1.3,,true
12,4,1.8,,true
34,4,1.5,,true
11,13,1.5,,true
11,6,2.5,,true
11,1,1.2,,true
13,1,1.3,,true
12,4,1.8,,true
34,4,1.5,,true
11,13,1.5,,true
11,6,2.5,,true
11,1,1.2,,true
13,1,1.3,,true
12,4,1.8,,true
34,4,1.5,,true
11,13,1.5,,true
11,6,2.5,,true
11,6,1.5,,true
11,1,1.2,,true
11,8,2.5,,true
20,1,1.1,15,true
20,6,2.2,15,true
20,8,5.4,15,true
11,1,1.2,105,true
13,1,1.2,105,true
34,4,1.5,105,true
12,4,2,105,true
11,1,1.2,,true
13,1,1.2,,true
34,4,1.5,,true
11,1,1.1,103,true
13,1,1.1,103,true
34,4,1.75,103,true
10,4,2.25,103,true
2,4,2.25,103,true
21,4,2.25,103,true
11,3,1,103,true
11,1,1.2,106,true
13,1,1.2,106,true
34,4,1.5,106,true
33,1,1.9,,true
53,13,4,,true
24,13,2.9,,true
26,4,4.5,,true
29,1,1.5,,true
29,2,2.6,,true
2,4,2,,true
29,3,1.3,,true
29,4,2,,true
20,4,2,,true
29,1,1.5,,true
29,2,2.6,,true
2,4,2,,true
11,1,1.2,,true
34,1,1.3,,true
33,5,3.7,,true
24,4,3.3,,true
25,4,2.2,,true
12,4,2.5,,true
44,4,2.2,,true
16,4,3.3,,true
53,4,3.5,,true
6,4,3,,true
6,1,1.3,,true
29,1,1.3,,true
29,2,2.2,,true
20,1,1.3,,true
20,12,3,,true
20,4,2,,true
20,1,1.3,,true
20,12,3,,true
20,4,2,,true
29,1,1.5,,true
29,2,2.1,,true
29,6,3.4,,true
35,1,1.3,,true
29,3,1.3,,true
35,6,2.5,,true
35,2,2,,true
24,5,5,,true
24,4,3,,true
32,4,3,,true
32,3,5,,true
33,5,5,,true
53,4,4.5,,true
5,1,1.3,,true
5,2,2,,true
5,6,3,,true
25,4,2,,true
29,4,2,,true
5,1,1.3,,true
5,2,2,,true
5,6,3,,true
25,4,2,,true
29,4,2,,true
24,5,5,,true
24,4,3,,true
32,4,3,,true
32,3,5,,true
33,5,5,,true
53,4,4.5,,true
15,4,4.5,,true
63,4,3.5,,true
24,5,5,,true
24,4,3,,true
32,4,3,,true
32,3,5,,true
33,5,5,,true
53,4,4.5,,true
15,4,4.5,,true
63,4,3.5,,true
33,1,1.9,108,true
53,13,4,108,true
24,13,2.9,108,true
26,4,4.5,108,true
29,1,1.5,109,true
29,2,2.6,109,true
2,4,2,109,true
29,3,1.3,110,true
29,4,2,110,true
20,4,2,110,true
11,1,1.2,,true
34,1,1.3,,true
33,5,3.7,,true
24,4,3.3,,true
25,4,2.2,,true
12,4,2.5,,true
44,4,2.2,,true
16,4,3.3,,true
53,4,3.5,,true
6,4,3,,true
6,1,1.3,,true
29,1,1.3,112,true
29,2,2.2,112,true
20,1,1.3,,true
20,12,3,,true
20,4,2,,true
35,1,1.3,,true
29,3,1.3,,true
35,6,2.5,,true
35,2,2,,true
29,1,1.5,,true
29,2,2.1,,true
29,6,3.4,,true
20,1,1.3,113,true
20,12,3,113,true
20,4,2,113,true
5,1,1.3,117,true
5,2,2,117,true
5,6,3,117,true
25,4,2,117,true
29,4,2,117,true
24,5,5,,true
